ID;rem;alt;slo;rain;coast;land;pres
195;5,12931;496;30,85048;6766,10986;0,06598;1;0
196;4,31385;121;10,25898;6275,25879;0,07071;2;0
197;4,63706;125;7,10127;6326,57129;0,07075;2;0
198;4,8357;142;14,03489;6400,95459;0,07087;2;0
199;4,92548;150;14,47895;6453,46045;0,07101;2;0
200;4,78473;165;20,06351;6342,48193;0,07244;1;0
201;4,77759;384;9,68372;6605,01172;0,06657;1;0
202;4,23173;356;11,94873;6578,36133;0,06479;1;0
203;3,95958;317;10,37873;6602,62549;0,06328;1;0
204;3,65432;328;4,87669;6571,59912;0,0615;1;0
205;3,55217;292;16,27988;6564,43896;0,05985;1;0
206;3,40369;318;8,72575;6313,84229;0,06489;1;0
207;3,51778;321;6,77016;6363,56396;0,06495;1;0
208;3,91291;314;23,71329;6413,28564;0,06672;1;0
209;3,88419;362;7,60363;6468,97363;0,06603;1;0
210;3,90997;356;7,01501;6524,66211;0,06456;1;0
211;3,26375;303;4,81808;6545,74365;0,05427;2;0
212;3,39153;311;9,83911;6591,08984;0,05462;2;0
213;3,52785;319;4,69866;6630,07178;0,05643;2;0
214;3,70305;327;7,87483;6667,06445;0,05825;2;0
215;4,01122;346;11,00994;6709,22852;0,05942;2;0
216;2,56086;259;5,92589;6323,38916;0,05003;2;0
217;2,76743;277;7,23837;6384,24805;0,05185;2;0
218;2,88593;283;7,8689;6439,53857;0,05289;2;0
219;3,17014;297;12,25741;6496,81787;0,05396;2;0
220;3,29609;248;7,17995;6511,1377;0,05561;1;0
221;3,40613;334;3,32617;6580,74805;0,05092;2;0
222;3,35558;326;1,80219;6552,1084;0,04929;2;0
223;3,41871;321;3,14981;6579,95215;0,04883;2;0
224;3,39216;325;1,38241;6546,93701;0,04721;2;0
225;3,23334;323;1,66449;6505,1709;0,04684;2;0
226;2,17538;225;3,71773;6229,51465;0,04573;2;0
227;2,38124;231;11,9185;6269,68994;0,04665;2;0
228;2,55486;251;7,38546;6315,43359;0,04762;2;0
229;2,67325;255;4,45002;6355,6084;0,04782;2;0
230;2,83602;260;13,33643;6385,44141;0,04725;2;0
231;3,02844;139;1,9789;6328,95801;0,04128;2;0
232;3,11446;150;5,51362;6348,44873;0,04079;2;0
233;3,29025;201;12,82551;6347,65332;0,03953;2;0
234;3,34833;258;20,90029;6326,57129;0,03814;2;0
235;3,30075;273;9,19549;6277,64502;0,03631;2;0
236;2,14888;94;16,20336;6090,29443;0,03578;2;0
237;2,40915;109;3,14981;6174,22412;0,03759;2;0
238;2,55163;117;10,6738;6207,23926;0,0378;2;0
239;2,72841;124;6,23558;6240,65234;0,03891;2;0
240;2,87705;133;6,15966;6280,82715;0,04007;2;0
241;2,70285;158;11,25479;5856,80176;0,02559;2;0
242;2,91595;168;7,43591;5920,04785;0,02624;2;0
243;2,95118;174;4,11781;5975,73584;0,0273;2;0
244;3,08097;184;10,82648;6081,94092;0,02943;2;0
245;3,06447;202;11,14124;6146,38037;0,03083;2;0
246;2,44523;134;4,5864;5636,03809;0,02409;2;0
247;2,45385;143;4,70872;5680,19092;0,02425;2;0
248;2,45831;157;4,78851;5689,7373;0,02371;2;1
249;2,54181;165;1,23651;5755,37012;0,0243;2;0
250;2,67025;137;4,02452;5848,84668;0,02608;2;1
251;3,20487;441;7,10128;5533,01514;0,01838;2;1
252;3,22589;442;5,55625;5586,31641;0,01932;2;0
253;3,10325;397;24,19315;5587,50977;0,01921;2;1
254;2,92561;309;8,03872;5621,3208;0,02;1;0
255;2,92373;243;24,97409;5694,90869;0,02154;1;0
256;3,15113;384;17,9426;5276,7998;0,01467;2;0
257;3,06001;410;8,67783;5177,99365;0,013;2;0
258;3,03865;409;1,9789;5284,56592;0,01397;2;0
259;3,05001;426;16,42906;5345,35254;0,01457;2;0
260;3,06932;434;22,77215;5401,43652;0,01537;2;0
261;2,78688;325;12,70291;4908,9375;0,01145;2;0
262;2,62922;288;5,26828;4818,65723;0,01035;2;0
263;2,509;307;9,88103;4836,46094;0,00882;2;0
264;2,48295;275;8,42833;4730,56055;0,00929;2;0
265;2,29405;280;21,18922;4775,07031;0,00704;2;0
266;1,74583;983;20,6545;1971,75818;0,05959;1;0
267;2,10984;1056;17,84675;1952,66504;0,05805;1;0
268;2,27416;1103;9,30536;1922,03662;0,05578;1;0
269;2,37912;1056;14,19103;1894,1925;0,05392;1;0
270;2,47566;1006;38,56746;1896,5791;0,05425;1;0
271;3,0021;1394;15,56344;2199,68188;0,07332;1;0
272;3,05109;1363;21,29918;2143,198;0,07176;1;0
273;3,06364;1283;20,07962;2066,03027;0,06943;1;0
274;2,89795;1215;15,38706;2028,63965;0,0682;1;0
275;2,81219;1162;18,22193;2003,18213;0,06666;1;0
276;3,17748;1367;41,93964;2619,72949;0,08522;2;0
277;3,35639;1385;41,36798;2612,56958;0,08464;2;0
278;3,46756;1354;40,28528;2606,20532;0,08409;2;0
279;3,49942;1352;26,28954;2633,25366;0,08363;1;0
280;3,50829;1298;16,26952;2661,0979;0,0829;1;0
281;4,97606;272;1,9789;5491,24902;0,07264;1;0
282;4,98875;295;11,57243;5430,7876;0,07294;1;0
283;4,9376;285;12,59324;5346,06201;0,07212;1;0
284;4,95432;234;12,92957;5227,52588;0,07186;1;0
285;4,79636;189;13,04975;5118,53613;0,07111;1;0
286;5,00013;322;17,94258;5778,44092;0,07304;1;0
287;5,01456;313;15,04727;5873,5083;0,07409;1;0
288;4,9235;264;13,55754;5857,59766;0,07258;1;0
289;4,94723;297;15,9062;5939,53857;0,07406;1;0
290;4,86007;260;12,56471;5774,46289;0,0711;1;0
291;4,66419;235;7,56051;5660,7002;0,06851;1;0
292;4,65322;257;6,63008;5597,85205;0,06859;1;0
293;4,7594;290;6,77711;5564,0415;0,06988;1;0
294;4,97049;311;13,14158;5632,06055;0,07173;1;0
295;4,58449;231;9,01792;5438,34521;0,06822;1;0
296;3,70259;186;17,84668;6196,89746;0,0674;1;0
297;3,87303;146;19,66942;6220,36572;0,06905;1;0
298;4,69525;139;4,97277;6253,38086;0,07321;1;0
299;4,35687;124;8,91473;6199,28418;0,07155;2;0
300;3,67271;106;3,4525;6143,5957;0,06992;2;0
301;3,17478;122;17,15859;5724,34375;0,06386;2;0
302;3,38706;154;1,95464;5657,91553;0,06406;1;0
303;3,57901;170;7,40443;5680,98633;0,06551;1;0
304;3,75833;197;10,9353;5712,80811;0,06662;1;0
305;4,12626;194;7,98642;5651,94922;0,06661;1;0
306;2,77244;254;3,28298;6196,10205;0,06076;2;0
307;2,88458;265;5,24131;6246,61914;0,06071;2;0
308;3,14292;288;6,8801;6245,02783;0,06238;2;0
309;3,35117;308;10,94778;6268,49658;0,06404;1;0
310;2,63568;241;5,13193;6169,45117;0,05914;2;0
311;2,48908;131;10,80119;5948,28955;0,06034;2;0
312;2,44623;133;10,22322;5868,3374;0,06052;2;0
313;2,48916;101;4,66832;5775,25879;0,06112;2;0
314;2,67137;82;3,90474;5721,55908;0,06166;2;0
315;2,73479;89;11,23057;5633,65137;0,06035;2;0
316;2,55025;1312;12,25386;2270,48535;0,07809;1;0
317;2,74437;1365;12,89853;2209,22827;0,07586;1;0
318;2,65298;1292;23,67988;2189,3396;0,07587;1;0
319;2,45575;1256;14,60852;2168,65552;0,07593;1;0
320;2,29898;1238;11,86924;2146,38037;0,07603;1;0
321;2,22426;1323;38,25183;2787,5896;0,09301;1;0
322;1,95962;1325;23,01525;2775,65625;0,09375;1;0
323;1,64964;1324;2,62162;2727,92358;0,09377;2;0
324;1,4949;1297;15,48822;2677,00879;0,09382;4;0
325;0,68538;1257;16,79887;2606,20532;0,09277;4;0
326;2,6963;640;5,6822;3226,73022;0,10219;2;0
327;2,8752;662;15,56619;3287,9873;0,10274;2;0
328;3,08105;723;13,85143;3352,42651;0,10332;1;0
329;3,12706;719;16,80639;3365,15503;0,10156;1;0
330;3,09504;708;21,74765;3333,33325;0,09979;1;0
331;4,59303;322;8,83132;3880,66821;0,09446;1;0
332;4,63595;357;26,4677;3933,17432;0,09631;1;0
333;4,8678;354;6,31803;4021,47974;0,09725;1;0
334;5,56788;190;10,10149;4498,01123;0,08659;1;0
335;5,61017;196;10,8475;4525,05957;0,08895;1;0
336;5,64051;268;24,34998;4454,25635;0,08825;1;0
337;5,65278;312;23,69262;4397,77246;0,08689;1;0
338;5,60243;272;21,52968;4427,20752;0,08594;1;0
339;5,06778;151;9,43814;4428,79883;0,07655;1;0
340;5,3391;177;14,68026;4462,21143;0,07891;1;0
341;5,4533;164;5,25031;4494,0332;0,08127;1;0
342;5,46534;169;1,66449;4509,94434;0,08245;1;0
343;5,51868;175;7,17996;4498,01123;0,08481;1;0
344;4,62847;320;17,0795;3988,06689;0,07119;1;0
345;4,7244;356;15,38708;4058,87036;0,07303;1;0
346;4,84619;389;11,48207;4128,87842;0,07487;1;0
347;5,01155;413;24,76076;4196,49951;0,07671;1;0
348;5,15662;459;21,77827;4256,16553;0,07856;1;0
349;4,93768;232;9,0179;4984,08887;0,07327;1;0
350;5,07598;269;9,93205;4996,81787;0,07502;1;0
351;5,10463;209;20,63107;4912,49023;0,07559;1;0
352;4,97293;194;17,03975;4837,70898;0,07383;1;0
353;4,8751;182;2,54785;4871,12158;0,07264;1;0
354;4,24963;247;11,86923;4295,94287;0,0642;1;0
355;4,30626;260;11,19822;4271,28076;0,06536;1;0
356;4,42054;292;6,47239;4281,62305;0,06713;1;0
357;4,44757;272;9,80172;4216,38818;0,06774;1;0
358;4,50875;288;15,90627;4186,95313;0,06896;1;0
359;4,24817;128;10,93529;4804,2959;0,06334;1;0
360;4,40998;158;24,71003;4885,44141;0,06514;1;0
361;4,50938;148;16,31148;4904,53467;0,06687;1;0
362;4,66971;164;3,08876;5020,68408;0,06985;1;0
363;4,74801;213;11,9185;4987,27148;0,07096;1;0
364;4,01541;148;15,63266;4274,46289;0,06071;2;0
365;3,98167;163;4,1178;4373,90625;0,06174;2;0
366;4,09497;195;13,72952;4326,96875;0,0625;1;0
367;4,1532;152;13,25623;4424,02539;0,06345;2;0
368;4,05376;148;12,35964;4443,11865;0,06218;2;0
369;4,47193;210;12,66058;5309,4668;0,06453;1;0
370;4,43577;232;14,62945;5217,97949;0,06315;1;0
371;4,47468;254;3,5207;5141,60693;0,06344;1;0
372;4,27766;254;10,94776;5007,15967;0,06094;1;0
373;4,08942;262;3,4525;4922,03662;0,05911;1;0
374;3,7181;136;6,91409;4447,8916;0,05675;2;0
375;3,63469;99;11,30706;4506,76221;0,05556;2;0
376;3,82284;108;16,97987;4749,40332;0,0582;2;0
377;3,88087;106;4,14079;4720,76367;0,05927;2;0
378;4,04533;155;24,33616;4679,39551;0,06092;1;0
379;4,32228;287;2,8481;5369,13281;0,0623;1;0
380;4,00305;267;13,11441;5308,67139;0,06002;1;0
381;3,82528;238;13,27963;5276,84961;0,05888;1;0
382;3,56217;201;8,83127;5256,16553;0,05733;1;0
383;3,35354;185;2,91424;5291,96484;0,05617;1;0
384;3,28406;209;1,87997;4865,55273;0,04916;1;0
385;3,39459;206;6,2356;4841,68652;0,05001;1;0
386;3,49822;206;12,48961;4864,75732;0,05159;1;0
387;3,67827;198;23,51146;4888,62354;0,0532;1;0
388;3,35326;191;11,83494;4757,35889;0,04815;1;0
389;2,42556;68;1,80219;5454,25635;0,05403;4;0
390;2,51512;71;10,0651;5392,20361;0,05244;2;0
391;2,66275;90;17,17342;5264,12109;0,0506;2;0
392;2,85587;180;11,76611;5156,72217;0,04932;1;0
393;3,0009;177;13,47554;5136,8335;0,04994;1;0
394;2,82867;175;9,19547;4980,11133;0,04533;1;0
395;2,86275;185;3,4525;5011,93311;0,04669;1;0
396;2,95758;195;6,13669;5044,55029;0,04808;1;0
397;3,05907;197;4,81808;4972,15576;0,04799;1;0
398;3,14595;188;6,06727;4898,96582;0,04797;1;0
399;2,05647;43;2,49108;4747,81201;0,03804;2;0
400;2,22871;44;2,1632;4837,70898;0,04001;2;0
401;2,35275;54;4,87667;4877,48584;0,04121;2;0
402;2,52648;104;23,98789;4865,55273;0,04165;2;0
403;2,63231;135;7,59134;4852,02881;0,04216;1;0
404;2,93219;698;19,46951;2873,5083;0,07685;2;0
405;3,07162;710;19,12349;2966,58716;0,0774;1;0
406;3,19419;696;8,13082;3037,39063;0,07681;1;0
407;3,28086;675;12,22811;3067,62134;0,07566;2;0
408;3,42295;671;24,17781;3135,24268;0,07514;2;0
409;4,11223;497;24,76535;3460,62061;0,07366;2;0
410;4,38996;323;22,03374;3600,63647;0,07561;2;0
411;4,31015;366;24,05829;3552,10815;0,07577;2;1
412;4,25482;365;15,14534;3533,81055;0,07667;2;0
413;4,07452;396;14,35419;3453,46069;0,07622;2;0
414;3,51107;593;10,25898;3196,49951;0,07242;2;0
415;3,54212;577;13,31647;3240,25464;0,07202;2;0
416;3,53782;631;20,71813;3257,75659;0,07101;1;0
417;3,69537;582;27,28872;3323,78687;0,07186;2;0
418;3,90594;579;29,16146;3400,15918;0,07227;2;0
419;4,1543;470;23,82756;3488,4646;0,07233;2;0
420;4,17698;423;23,88901;3507,55762;0,07147;2;0
421;4,36803;373;21,71877;3577,56567;0,07251;2;0
422;4,40832;313;13,8066;3626,09399;0,07245;2;0
423;4,37772;267;14,09443;3645,18701;0,07141;2;0
424;3,51505;389;7,68906;3309,46704;0,06206;2;0
425;3,49942;396;11,60369;3289,57837;0,06289;2;0
426;3,48474;414;27,58863;3269,6897;0,06376;2;0
427;3,52552;426;32,81712;3279,23633;0,06535;2;0
428;3,43547;467;31,50054;3261,73438;0,06626;2;0
429;4,06541;249;15,59945;3588,70337;0,06561;2;0
430;4,00572;269;15,83296;3580,7478;0,0639;2;0
431;4,12855;215;8,5595;3660,30225;0,06416;2;0
432;4,25392;187;16,5535;3737,47021;0,065;2;0
433;4,51086;250;24,46434;3900,55688;0,06984;1;0
434;3,99896;271;12,50756;3584,72559;0,06168;2;0
435;3,79386;326;17,83968;3495,62451;0,05974;2;0
436;3,78724;312;21,59362;3518,69531;0,05869;2;0
437;3,68807;383;11,61147;3431,98096;0,06074;2;0
438;3,52276;336;14,18479;3350,83521;0,06051;2;0
439;3,73821;235;11,4505;3891,80591;0,05781;2;0
440;3,8841;224;20,54739;3902,9436;0,05962;2;0
441;3,87892;249;22,02481;3802,70483;0,05893;2;0
442;4,00987;173;12,33419;3872,71289;0,06079;2;0
443;4,06466;121;2,63972;4003,97778;0,06252;2;0
444;3,57829;372;18,6321;3377,08838;0,05323;2;0
445;3,70663;396;15,43202;3447,89185;0,054;2;0
446;3,71858;388;20,47697;3482,89575;0,05634;2;0
447;3,85134;385;18,52512;3565,63257;0,05666;2;0
448;3,83717;380;31,61393;3601,43188;0,05521;2;0
449;3,18118;262;18,601;3938,74292;0,05181;2;0
450;3,33348;249;12,78363;3906,12573;0,053;2;0
451;3,48844;212;11,43469;3914,08105;0,05478;2;0
452;3,60724;175;7,92791;4043,75488;0,05652;2;0
453;3,65685;144;2,0731;4147,17578;0,05713;2;0
454;3,44995;349;19,8607;3687,35083;0,05208;2;0
455;3,30767;348;15,10216;3712,0127;0,05085;2;0
456;3,1782;321;20,26177;3766,10986;0,05013;2;0
457;3,1465;310;13,23941;3856,00635;0,05064;2;0
458;3,2597;372;7,83329;3657,12012;0,04981;2;0
459;2,91433;594;34,21984;2816,229;0,0751;1;0
460;3,0649;490;26,90098;2844,07324;0,07388;1;0
461;3,15425;429;14,25287;2838,50439;0,0721;2;1
462;3,14316;406;28,12294;2834,52661;0,07033;2;0
463;3,0882;382;22,60921;2832,93555;0,06856;2;1
464;3,00593;414;18,05648;2832,93555;0,06679;2;0
465;2,85952;355;15,84932;2797,13599;0,06502;2;0
466;2,83822;305;5,68224;2846,45972;0,06445;2;0
467;2,77494;355;17,8114;2872,71289;0,06331;2;0
468;2,64241;344;19,35994;2825,77563;0,06209;3;0
469;1,07958;358;17,94957;2863,96191;0,05578;2;0
470;1,65887;399;24,3485;2903,73901;0,05706;2;0
471;2,09775;484;29,27056;2970,56494;0,05785;1;0
472;2,38999;593;5,54778;3027,84399;0,05752;1;0
473;2,57872;517;33,15971;3070,00806;0,05772;1;0
474;3,305;235;12,00519;3269,6897;0,05642;2;0
475;3,30224;212;10,10153;3263,32544;0,05475;2;0
476;3,25954;191;5,94968;3209,22827;0,05344;2;0
477;3,20949;176;4,45002;3167,85986;0,05158;2;0
478;3,26903;250;18,17155;3188,54419;0,05061;2;0
479;3,45853;431;12,35962;3390,61255;0,04717;1;1
480;3,55266;427;11,46629;3392,99927;0,04882;2;0
481;3,64859;411;7,77956;3396,97705;0,0505;2;0
482;3,57293;376;17,06454;3360,38184;0,05206;2;0
483;3,44492;333;20,51812;3275,25854;0,05016;2;0
